Total rows in DATA: 282
Spreadsheet Timezone: America/Los_Angeles
Script Timezone: Asia/Bangkok
CR_CONFIG.TIME_ZONE: Asia/Ho_Chi_Minh
"Row 245 -> Machine: M08 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 10:47:43 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 246 -> Machine: M02 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:07:48 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 247 -> Machine: TAWI_AB1 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:08:35 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 248 -> Machine: TAWI_AB2 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:09:14 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 249 -> Machine: M06 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:06:19 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 250 -> Machine: M03 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:07:08 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 251 -> Machine: CDC1 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:08:49 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 252 -> Machine: N02 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:25:57 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 253 -> Machine: N03 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:28:46 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 254 -> Machine: CDC2 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:12:29 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 255 -> Machine: N01 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:21:39 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 256 -> Machine: N04 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:32:37 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 257 -> Machine: NC | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:43:22 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 258 -> Machine: NC | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:51:44 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 259 -> Machine: M05 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:57:16 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 260 -> Machine: TAWI_AB4 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:56:19 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 261 -> Machine: M08 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:55:30 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 262 -> Machine: TAWI_AB3 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:55:54 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 263 -> Machine: XNJB | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:56:47 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 264 -> Machine: M07 | rawDateVal: Thu May 21 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-21) | createdAt: Fri May 22 2026 12:57:42 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 1) | status: completed"
"Row 265 -> Machine: M06 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:00:25 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: in-progress"
"Row 266 -> Machine: CDC2 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:00:28 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 267 -> Machine: M03 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:01:40 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 268 -> Machine: N02 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:02:04 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 269 -> Machine: M07 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:02:09 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 270 -> Machine: N04 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:02:58 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 271 -> Machine: TAWI_AB1 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:02:21 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 272 -> Machine: CDC1 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:03:35 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 273 -> Machine: TAWI_AB2 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:03:46 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 274 -> Machine: TAWI_AB3 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:03:58 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 275 -> Machine: TAWI_AB4 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:04:39 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 276 -> Machine: XNJB | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:05:16 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 277 -> Machine: N03 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:02:31 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 278 -> Machine: M05 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:02:45 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 279 -> Machine: M02 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:03:02 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 280 -> Machine: M08 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:00:42 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 281 -> Machine: NC | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:01:02 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 282 -> Machine: N01 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 20:01:32 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: completed"
"Row 283 -> Machine: M03 | rawDateVal: Fri May 22 2026 14:00:00 GMT+0700 (Indochina Time) (parsed: 2026-05-22) | createdAt: Fri May 22 2026 21:05:45 GMT+0700 (Indochina Time) (calcDate: 2026-05-22, calcShift: Ca 2) | status: in-progress"
Found today's records count: 39
