Material,Material description,Bundle,Khu Vực,Status,Color,Material Description,Size Type,IsValid,Case
C0000000163,CP_09 TRANG,CP_09,IM,C3,TRANG,Pokey FH White Handle Spec,HDL_PK_Size,Yes,WHEN 'C0000000163' THEN 'CP_09'
C0000000173,CP_09_S TRANG,CP_09_S,TE,C3,TRANG,Pokey FHS White TB,TE_PK_Size,Yes,WHEN 'C0000000173' THEN 'CP_09_S'
C0000000462,EC_11 TIM,EC_11,IM,C5,TIM,,HDL_EXCL_09_Size,No,WHEN 'C0000000462' THEN 'EC_11'
C0000000463,EC_11 CAM,EC_11,IM,C5,CAM,,HDL_EXCL_09_Size,No,WHEN 'C0000000463' THEN 'EC_11'
C0000000464,EC_11 LA,EC_11,IM,C5,LA,,HDL_EXCL_09_Size,No,WHEN 'C0000000464' THEN 'EC_11'
C0000000465,EC_11 DUONG,EC_11,IM,C5,DUONG,,HDL_EXCL_09_Size,No,WHEN 'C0000000465' THEN 'EC_11'
C0000000754,ZZ_09 DO,ZZ_09,IM,C5,DO,,,No,WHEN 'C0000000754' THEN 'ZZ_09'
C0000000755,ZZ_09 CAM,ZZ_09,IM,C5,CAM,,,No,WHEN 'C0000000755' THEN 'ZZ_09'
C0000000756,ZZ_09 LA,ZZ_09,IM,C5,LA,,,No,WHEN 'C0000000756' THEN 'ZZ_09'
C0000000757,ZZ_09 DUONG,ZZ_09,IM,C5,DUONG,,,No,WHEN 'C0000000757' THEN 'ZZ_09'
C0000000758,ZZ_09_S DO,ZZ_09_S,TE,C5,DO,,,No,WHEN 'C0000000758' THEN 'ZZ_09_S'
C0000000759,ZZ_09_S CAM,ZZ_09_S,TE,C5,CAM,,,No,WHEN 'C0000000759' THEN 'ZZ_09_S'
C0000000760,ZZ_09_S LA,ZZ_09_S,TE,C5,LA,,,No,WHEN 'C0000000760' THEN 'ZZ_09_S'
C0000000761,ZZ_09_S DUONG,ZZ_09_S,TE,C5,DUONG,,,No,WHEN 'C0000000761' THEN 'ZZ_09_S'
C0000000762,ZZ_09_M DO,ZZ_09_M,TE,C5,DO,,,No,WHEN 'C0000000762' THEN 'ZZ_09_M'
C0000000763,ZZ_09_M CAM,ZZ_09_M,TE,C5,CAM,,,No,WHEN 'C0000000763' THEN 'ZZ_09_M'
C0000000764,ZZ_09_M LA,ZZ_09_M,TE,C5,LA,,,No,WHEN 'C0000000764' THEN 'ZZ_09_M'
C0000000765,ZZ_09_M DUONG,ZZ_09_M,TE,C5,DUONG,,,No,WHEN 'C0000000765' THEN 'ZZ_09_M'
C0000000905,ZZGC_09 DUONG,ZZGC_09,IM,C5,DUONG,,HDL_ZZ GC 09_Size,No,WHEN 'C0000000905' THEN 'ZZGC_09'
C0000000906,ZZGC_09 LA,ZZGC_09,IM,C5,LA,,HDL_ZZ GC 09_Size,No,WHEN 'C0000000906' THEN 'ZZGC_09'
C0000000907,ZZGC_09 DO,ZZGC_09,IM,C5,DO,,HDL_ZZ GC 09_Size,No,WHEN 'C0000000907' THEN 'ZZGC_09'
C0000000908,ZZGC_09 VANG,ZZGC_09,IM,C5,VANG,,HDL_ZZ GC 09_Size,No,WHEN 'C0000000908' THEN 'ZZGC_09'
