CONTROL ROOM - MIXING AUTOMATION README,,
Last generated,2026-05-15 14:58:26,Timezone: Asia/Ho_Chi_Minh
,,
1. Mục đích tổng thể,"File này gom dữ liệu từ nhiều nguồn về các sheet DATA, sau đó tổng hợp KPI và gửi thông báo Google Chat.","Nguồn hiện hỗ trợ: Augmentir, Domo, Google sheet."
2. Sheet cấu hình chính,SETUP_NEW,Mỗi dòng trong SETUP_NEW là một nguồn dữ liệu cần cập nhật. Bật/tắt bằng cột Enabled.
3. Luồng chạy chính,Menu Augmentir > Update hoặc trigger gọi hàm update().,"update() đọc SETUP_NEW, duyệt từng dòng enabled, rồi gọi logic theo Platform."
,,
SETUP_NEW - Cột,Ý nghĩa,Ghi chú
Enabled,TRUE/FALSE để bật hoặc bỏ qua dòng cấu hình.,FALSE thì dòng đó không chạy.
Platform,Loại nguồn dữ liệu.,"Augmentir, Domo, hoặc Google sheet."
Data sheet,Sheet đích trong file hiện tại.,"Nếu chưa có, code sẽ tự tạo."
Procedure Name / Source sheet,Augmentir: Procedure Name. Google sheet: tên sheet nguồn.,Domo thường để trống.
Procedure ID / Dataset ID / Spreadsheet ID,Augmentir: Procedure ID. Domo: Dataset ID. Google sheet: Spreadsheet ID nguồn.,Google sheet cần ID file nguồn.
Date column,Tên cột ngày để lọc dữ liệu.,Domo và Google sheet dùng được. Augmentir không cần.
Date type,Kiểu ngày.,"AUTO, TEXT, DATE, DATETIME. Domo AUTO/TEXT dùng format yyyy-MM-dd HH:mm:ss.0000000 +07:00."
Query,SQL dùng cho Domo.,Ví dụ: SELECT * FROM table. Để trống sẽ dùng SELECT * FROM table.
created/in-progress/paused/cancelled/completed,Bộ lọc status cho Augmentir.,Domo và Google sheet bỏ qua.
production/pre-production/draft,Bộ lọc publish state cho Augmentir.,Domo và Google sheet bỏ qua.
from,Mốc bắt đầu lấy dữ liệu incremental.,Sau khi chạy thành công sẽ tự cập nhật lên mốc mới nhất; riêng Domo vẫn giữ lịch sử trên sheet bằng upsert.
to,Mốc kết thúc lấy dữ liệu.,Có thể để trống để lấy tới hiện tại/dữ liệu mới nhất.
Lock headers,Khóa header với Augmentir.,TRUE thì không tự thêm cột động mới từ Augmentir.
Include expired jobs,Có lấy job expired của Augmentir không.,TRUE thì lấy cả expired jobs.
Last Updated,Mốc cập nhật gần nhất để quan sát.,Cũng dùng timezone Việt Nam.
,,
Platform: Augmentir,Lấy job từ API Augmentir theo Procedure Name hoặc Procedure ID.,Dữ liệu được ghi theo cấu trúc DEFAULT_HEADERS và các cột data/unitData động.
Augmentir - Incremental,"Code dùng cột from làm startDate, gọi API theo updatedAt.",Timestamp Augmentir là UTC và được ghi về giờ Việt Nam; ngày/ca vận hành lấy từ data.Ngày thực hiện/data.Ca khi có.
Augmentir - DATA,"Nếu Data sheet là DATA, KPI hiện tại sẽ đọc được.",KPI script đang đọc sheet DATA cố định.
,,
Platform: Domo,Lấy dữ liệu từ Domo Dataset API bằng Dataset ID.,"Credential đọc từ spreadsheet credential, sheet Domo, ô B1/B2."
Domo - Query,Code tự thêm WHERE theo Date column/from/to vào Query.,"Nếu Query có ORDER BY, WHERE sẽ được chèn trước ORDER BY."
Domo - Ghi dữ liệu,Domo ghi theo upsert mode bằng cột Id để giữ lịch sử giao dịch trong ca.,Không clear sheet đích; nếu header lệch sẽ dừng để tránh ghi sai dữ liệu lịch sử.
Domo - Ngày,Date column ví dụ CreatedDate hoặc ModifiedDate.,Domo đọc mốc from/to theo giá trị hiển thị trên SETUP_NEW để tránh lệch giờ; dùng ModifiedDate nếu cần bắt thay đổi trạng thái record cũ.
,,
Platform: Google sheet,Copy dữ liệu từ một Spreadsheet khác.,Procedure Name / Source sheet là tên sheet nguồn; ID là Spreadsheet ID nguồn.
Google sheet - Filter ngày,Nếu Date column trống thì copy toàn bộ.,Nếu có Date column thì chỉ copy dòng có ngày > from và <= to.
Google sheet - Ghi dữ liệu,Clear sheet đích rồi ghi header + dòng đã lọc.,from cập nhật theo ngày lớn nhất đã copy; nếu không filter ngày thì cập nhật theo thời gian chạy.
,,
KPI_New,Sheet KPI được tạo/cập nhật bởi Update KPI (cHÍNH).js.,"Hàm syncHistoricalKPI_Fast() đọc sheet DATA, Master_data, rồi ghi KPI_New."
Google Chat,"triggerSyncKPI() gọi update(), flush, sau đó sync KPI và gửi thông báo theo ALERT_HOURS.","Thông báo phân loại: chưa kiểm tra, đang thực hiện, chờ duyệt, hoàn thành."
Ca làm việc,"Ca 1: 05:55-13:54:59, Ca 2: 13:55-21:54:59, Ca 3: 21:55-05:54:59.",Sau 0h tới 05:54:59 vẫn tính về ngày ca trước.
,,
Menu Augmentir,Update,Chạy toàn bộ nguồn enabled trong SETUP_NEW.
Menu Augmentir,Create SETUP_NEW,"Tạo/cập nhật layout SETUP_NEW, migrate layout cũ nếu cần."
Menu Augmentir,Create README,Tạo/cập nhật sheet Readme này.
Menu Augmentir > Clear,Clear Updated From / Clear Data / Clear Headers.,Clear Updated From xóa mốc from trong SETUP_NEW.
,,
Lưu ý vận hành,Không đổi tên/cấu trúc header sheet DATA nếu KPI đang phụ thuộc vào DATA.,"Nếu dùng Data sheet khác, KPI hiện tại sẽ không đọc trừ khi sửa KPI."
Lưu ý bảo mật,Code hiện có API key/webhook/credential reference.,Không chia sẻ project hoặc file code ra ngoài nếu không cần thiết.
